index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,0,0,0,23,16,0,0,0,95,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,2,0,2,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,30,97,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,0,0,0,0,62,4,0,0,0,2,0,0,0,8,0,0,0,0,6,0,62,78,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,27,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,0,0,0,53,46,2,0,0,0,0,0,0,38,53,0,40,0,0,11,0,0,0,112,57,53,92,10,0,0,282,0,2,0,0,0,70,0,0,0,0,0,0,0,0,0,13,5,0,36,121,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,0,0,17,0,0,0,57,25,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,0,0,0,0,17,0,6,0,4,0,0,0,70,0,16,28,0,0,0,0,0,0,34,175,0,3,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,9,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,0,0,0,83,73,0,2,0,101,34,62,153,18,109,14,71,20,34,0,45,38,10,137,160,0,55,0,18,0,63,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,14,0,0,81,158,22,4,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,57,0,62,32,0,2,44,11,0,0,0,66,57,50,0,0,0,58,0,50,297,229,18,86,0,14,49,39,0,233,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,188,108,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,4,2,0,0,0,0,73,0,16,0,2,23,0,25,0,121,0,0,0,0,0,0,34,181,40,56,0,27,0,120,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,127,110,59,3,19,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),0,0,0,48,16,4,46,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,49,63,0,80,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,2,93,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,45,0,0,23,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,5,0,0,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,62,0,0,0,44,18,0,0,0
