index,qPCR_neg_ct-1,qPCR_neg_ct-2,ZG-1,ZG-10,ZG-11,ZG-12,ZG-13,ZG-14,ZG-15,ZG-16,ZG-17,ZG-18,ZG-19,ZG-2,ZG-20,ZG-21,ZG-22,ZG-23,ZG-24,ZG-25,ZG-26,ZG-27,ZG-28,ZG-29,ZG-3,ZG-30,ZG-31,ZG-32,ZG-33,ZG-34,ZG-35,ZG-36,ZG-37,ZG-38,ZG-39,ZG-4,ZG-40,ZG-41,ZG-42,ZG-43,ZG-44,ZG-45,ZG-46,ZG-47,ZG-48,ZG-49,ZG-5,ZG-50,ZG-51,ZG-52,ZG-6,ZG-7,ZG-8,ZG-9,zymo_pos_ct
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae,0,0,0,0,27,0,0,0,30,60,0,0,0,0,0,0,35,0,9,56,46,44,0,0,65,2,56,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,47,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Devosiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1,0,0,0,0,0,45,0,0,0,121,0,0,0,0,0,0,0,0,0,28,92,116,0,126,59,0,31,0,0,0,0,0,0,0,66,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__CCD24;D_4__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,39,0,0,0,0,0,99,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__67-14,0,0,0,0,0,12,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,21,146,79,0,125,19,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,0,24,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Peptostreptococcaceae,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,27,38,100,0,46,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;__;__,3,22,0,228,41,23,0,0,0,0,60,38,27,217,0,80,0,46,0,0,0,35,262,155,40,289,36,22,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,144,53,56,49,83,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae,0,0,430,49,20,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,48,4,0,45,0,0,0,89,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Pleomorphomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,0,0,646,0,0,20,67,0,0,0,0,59,0,34,0,0,0,12,41,0,46,0,34,53,42,0,64,0,6,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,14,0,0,59,43,37,70,0
